,Raman shift [cm^-1],Intensity [a.u.]
0,1000.0,0.6848163751203673
1,1002.0080321285141,0.2707880314849614
2,1004.0160642570281,0.37098015553906655
3,1006.0240963855422,0.28103412313676307
4,1008.0321285140562,0.05943757048981557
5,1010.0401606425703,0.474306586111541
6,1012.0481927710844,0.5315117160643744
7,1014.0562248995984,0.22881513024199784
8,1016.0642570281125,0.5923111754087227
9,1018.0722891566265,0.7352703036945138
10,1020.0803212851406,0.15449049650457847
11,1022.0883534136547,0.410059178012758
12,1024.0963855421687,0.2909628704258396
13,1026.1044176706828,0.5193087661189508
14,1028.1124497991968,0.4432964922635142
15,1030.120481927711,0.282085624695682
16,1032.128514056225,0.19297484219530964
17,1034.136546184739,0.6275061199384075
18,1036.144578313253,0.565840634288938
19,1038.1526104417671,0.09048139093114671
20,1040.1606425702812,0.3525542054866475
21,1042.1686746987953,0.8601936730269066
22,1044.1767068273093,0.6675890613161064
23,1046.1847389558234,0.5306559487401504
24,1048.1927710843374,0.8050605258636538
25,1050.2008032128515,0.5482011863707631
26,1052.2088353413656,0.67906074420293
27,1054.2168674698796,0.850437462888798
28,1056.2248995983937,0.3852473109890794
29,1058.2329317269077,0.9909995768043798
30,1060.2409638554218,0.6712180213059417
31,1062.2489959839359,0.6486337503958639
32,1064.25702811245,0.5405422958369933
33,1066.265060240964,0.4668349176644389
34,1068.273092369478,0.576738110734027
35,1070.2811244979919,0.6271940458900325
36,1072.289156626506,0.763215264827086
37,1074.29718875502,0.7616753770309241
38,1076.305220883534,1.1374514052177138
39,1078.313253012048,0.3562386098096948
40,1080.3212851405622,1.0805840272090679
41,1082.3293172690762,1.2291802474424878
42,1084.3373493975903,0.6529627191795755
43,1086.3453815261043,1.1878657288357002
44,1088.3534136546184,1.026296644218854
45,1090.3614457831325,0.9238428411503282
46,1092.3694779116465,0.8277081709186558
47,1094.3775100401606,0.7739150811019307
48,1096.3855421686746,1.138308839391991
49,1098.3935742971887,1.0098588547373626
50,1100.4016064257028,1.1457218784135392
51,1102.4096385542168,0.7918936494955152
52,1104.4176706827309,1.0239898550576894
53,1106.425702811245,0.9847477279341883
54,1108.433734939759,1.0023678932566051
55,1110.441767068273,1.5271784374397626
56,1112.4497991967871,1.3298813321228105
57,1114.4578313253012,1.4096501541684197
58,1116.4658634538152,1.373430051733901
59,1118.4738955823293,1.0586148962623712
60,1120.4819277108434,0.895332450241717
61,1122.4899598393574,1.2215804343703225
62,1124.4979919678715,1.2618555264203417
63,1126.5060240963855,1.611116706283676
64,1128.5140562248996,1.3116853169542366
65,1130.5220883534137,1.2271075617340108
66,1132.5301204819277,1.3355167109496058
67,1134.5381526104418,1.4520171067731549
68,1136.5461847389558,1.0600534478398531
69,1138.55421686747,1.4073226415352684
70,1140.562248995984,1.255941168806289
71,1142.570281124498,1.2902824278120208
72,1144.578313253012,1.5567423285007618
73,1146.5863453815261,1.1713869409328295
74,1148.5943775100402,1.9526440759224493
75,1150.6024096385543,1.897864731399786
76,1152.6104417670683,1.701659784824008
77,1154.6184738955824,1.5124491649599918
78,1156.6265060240964,1.515803748089458
79,1158.6345381526105,1.7798409135056885
80,1160.6425702811246,1.5331251106875783
81,1162.6506024096386,1.7207319278169844
82,1164.6586345381527,1.7195217382262118
83,1166.6666666666667,1.9957590100279563
84,1168.6746987951808,2.0916890639765313
85,1170.6827309236949,2.132174419696154
86,1172.690763052209,1.8378833779691113
87,1174.698795180723,1.565758935773642
88,1176.706827309237,2.08796671498211
89,1178.714859437751,1.9273905845327963
90,1180.7228915662652,1.8768009009008482
91,1182.7309236947792,2.258748626569836
92,1184.738955823293,2.2343300294969946
93,1186.7469879518071,2.3772694816568576
94,1188.7550200803212,2.4652645862768456
95,1190.7630522088352,2.287126744881634
96,1192.7710843373493,2.2831968833233476
97,1194.7791164658634,2.1974513394187287
98,1196.7871485943774,2.339089014429217
99,1198.7951807228915,2.3965343530185934
100,1200.8032128514055,2.521235990195849
101,1202.8112449799196,2.510767191192732
102,1204.8192771084337,2.3180324743773304
103,1206.8273092369477,2.19669095516236
104,1208.8353413654618,2.195356292042347
105,1210.8433734939758,2.108182343048298
106,1212.85140562249,2.202164793653345
107,1214.859437751004,2.160450961062896
108,1216.867469879518,2.1795397941449646
109,1218.875502008032,1.9759446218918115
110,1220.8835341365461,2.150731558828894
111,1222.8915662650602,2.0919345821219184
112,1224.8995983935743,2.283545699808578
113,1226.9076305220883,1.9971744555535722
114,1228.9156626506024,2.19589057409154
115,1230.9236947791164,2.0730895964837006
116,1232.9317269076305,1.638393681345806
117,1234.9397590361446,1.7450732539183444
118,1236.9477911646586,1.7292290696787027
119,1238.9558232931727,1.6648069021785497
120,1240.9638554216867,1.7087337559207296
121,1242.9718875502008,1.607101576664186
122,1244.9799196787149,1.6824873635670403
123,1246.987951807229,1.7236336616454193
124,1248.995983935743,1.403503922463759
125,1251.004016064257,1.7274799261959324
126,1253.012048192771,1.608129976492406
127,1255.0200803212851,1.3518672919330343
128,1257.0281124497992,1.5435980498001678
129,1259.0361445783133,1.356177811437551
130,1261.0441767068273,1.586235200449604
131,1263.0522088353414,1.021487343813848
132,1265.0602409638554,1.5813025050757183
133,1267.0682730923695,1.3396389389144538
134,1269.0763052208836,1.201513219654275
135,1271.0843373493976,1.5644556059823143
136,1273.0923694779117,1.2151484200174814
137,1275.1004016064257,1.2126310039533172
138,1277.1084337349398,0.8441222836329636
139,1279.1164658634539,1.2000877823633518
140,1281.124497991968,1.1239683286579003
141,1283.132530120482,1.0250860630025063
142,1285.140562248996,1.1571905026993232
143,1287.14859437751,1.3642864133214545
144,1289.1566265060242,1.115156794300167
145,1291.1646586345382,0.737469841589969
146,1293.1726907630523,1.0933041011180396
147,1295.1807228915663,1.101439738983221
148,1297.1887550200804,1.1488498803995977
149,1299.1967871485945,1.177969536003944
150,1301.2048192771085,0.7676130389780125
151,1303.2128514056226,0.9403018680612605
152,1305.2208835341366,1.3110002447747544
153,1307.2289156626507,0.7097349759894852
154,1309.2369477911648,0.8747354941064039
